Zip,green_percentage,red_percentage,yellow_percentage,red_yellow_percentage,green_count,red_count,yellow_count,red_yellow_count,poverty_rate,Poverty Rate - MOE (+/-),median_income,Median Income MOE,total_rest_count,chain_count,chain_percentage,non_chain_count,non_chain_percentage
94501,75.9,4.3,19.8,24.1,2053,115,536,651,8.4,1.2,94991,3577,2704,266,9.8,2438,90.2
94502,89.3,0,10.7,10.7,167,0,20,20,2.2,1.3,154437,11575,187,57,30.5,130,69.5
94536,82,0,18,18,585,0,128,128,5.6,1,121696,5084,713,135,18.9,578,81.1
94538,84.6,3.9,11.5,15.4,3662,169,497,666,5.1,0.8,112473,5156,4328,554,12.8,3774,87.2
94539,78.9,3.4,17.7,21.1,1573,68,353,421,2.4,0.5,177836,7248,1994,361,18.1,1633,81.9
94541,93.9,0.9,5.2,6.1,1349,13,75,88,11.6,1.7,80448,3460,1437,216,15,1221,85
94542,100,0,0,0,102,0,0,0,10.1,3.4,121354,9367,102,15,14.7,87,85.3
94544,85,1.9,13.1,15,1391,31,215,246,8.2,1.1,82520,3553,1637,307,18.8,1330,81.2
94545,86.9,2,11,13,765,18,97,115,6.3,1.2,91310,6741,880,118,13.4,762,86.6
94546,86.4,3.6,10,13.6,484,20,56,76,7.6,1.2,97179,6939,560,105,18.8,455,81.2
94550,81.8,7.3,10.9,18.2,1452,129,193,322,4.2,1,139387,5268,1774,330,18.6,1444,81.4
94551,78.8,5.7,15.4,21.1,699,51,137,188,4.8,1.3,118967,6037,887,230,25.9,657,74.1
94552,100,0,0,0,36,0,0,0,2.7,1.3,162583,13766,36,3,8.3,33,91.7
94555,75.7,4.8,19.5,24.3,632,40,163,203,3,0.8,147358,8067,835,34,4.1,801,95.9
94560,79,1.9,19.1,21,2354,57,570,627,4.8,1.1,116856,6296,2981,228,7.6,2753,92.4
94566,66.9,8.7,24.4,33.1,1049,137,383,520,4.7,0.9,161204,7341,1569,147,9.4,1422,90.6
94568,91.1,2.1,6.8,8.9,1088,25,81,106,4.2,0.9,146103,4884,1194,135,11.3,1059,88.7
94577,82.8,0,17.2,17.2,1611,0,334,334,9.3,1.6,78444,4150,1945,209,10.7,1736,89.3
94578,74.3,6.7,19,25.7,477,43,122,165,13.1,2.5,66450,4417,642,86,13.4,556,86.6
94579,89.5,0,10.5,10.5,289,0,34,34,8.6,3.2,88991,6802,323,40,12.4,283,87.6
94580,91.3,0,8.7,8.7,377,0,36,36,6.2,1.5,96493,4829,413,44,10.7,369,89.3
94587,77.3,4.3,18.4,22.7,3234,178,771,949,5,0.9,114681,6231,4183,502,12,3681,88
94588,82.6,5.6,11.8,17.4,1262,85,180,265,3.8,1.2,153429,5969,1527,121,7.9,1406,92.1
94601,88,8.6,3.4,12,1212,119,47,166,26.9,2.8,50122,2664,1378,107,7.8,1271,92.2
94602,91.6,1.5,6.8,8.3,415,7,31,38,9.7,1.7,95479,4367,453,31,6.8,422,93.2
94603,93,0,7,7,304,0,23,23,21.4,3.4,52634,4490,327,55,16.8,272,83.2
94605,96.6,3.4,0,3.4,621,22,0,22,14.1,2.1,72778,5347,643,46,7.2,597,92.8
94606,83,4.5,12.6,17.1,686,37,104,141,18.5,2.2,56129,5427,827,33,4,794,96
94607,69.8,6.1,24.1,30.2,1761,155,608,763,24.4,2.7,55054,3959,2524,75,3,2449,97
94608,65.7,6.4,27.8,34.2,739,72,313,385,13.9,2.2,87517,5057,1124,83,7.4,1041,92.6
94609,62.6,13.8,23.6,37.4,790,174,298,472,15.3,2.6,86750,7018,1262,60,4.8,1202,95.2
94610,81.3,5,13.7,18.7,605,37,102,139,7.5,1.4,100717,4585,744,49,6.6,695,93.4
94611,66.8,8.8,24.3,33.1,742,98,270,368,5.5,1.1,129576,7003,1110,86,7.7,1024,92.3
94612,78.9,3.6,17.6,21.2,1332,60,297,357,24.2,2.8,55291,7463,1689,61,3.6,1628,96.4
94618,65.3,4.9,29.8,34.7,545,41,249,290,5.1,1.5,167606,10975,835,10,1.2,825,98.8
94619,95.9,2.5,1.6,4.1,425,11,7,18,7.8,2.6,94490,7817,443,59,13.3,384,86.7
94621,94.6,1,4.4,5.4,663,7,31,38,26.1,3.1,42563,4642,701,120,17.1,581,82.9
94706,79.4,0.2,20.5,20.7,500,1,129,130,8.6,1.7,100461,6598,630,47,7.5,583,92.5
